﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/08/2026 - 07:15:00";"08/08/2026 - 07:30:00";"0.046000";"kWh";"W";
"08/08/2026 - 07:30:00";"08/08/2026 - 07:45:00";"0.052700";"kWh";"W";
"08/08/2026 - 07:45:00";"08/08/2026 - 08:00:00";"0.078300";"kWh";"W";
"08/08/2026 - 08:00:00";"08/08/2026 - 08:15:00";"0.712000";"kWh";"W";
"08/08/2026 - 08:15:00";"08/08/2026 - 08:30:00";"0.590900";"kWh";"W";
"08/08/2026 - 08:30:00";"08/08/2026 - 08:45:00";"0.449300";"kWh";"W";
"08/08/2026 - 08:45:00";"08/08/2026 - 09:00:00";"0.852000";"kWh";"W";
"08/08/2026 - 09:00:00";"08/08/2026 - 09:15:00";"0.506300";"kWh";"W";
"08/08/2026 - 09:15:00";"08/08/2026 - 09:30:00";"0.398700";"kWh";"W";
"08/08/2026 - 09:30:00";"08/08/2026 - 09:45:00";"0.065300";"kWh";"W";
"08/08/2026 - 09:45:00";"08/08/2026 - 10:00:00";"0.002400";"kWh";"W";
"08/08/2026 - 10:00:00";"08/08/2026 - 10:15:00";"0.378900";"kWh";"W";
"08/08/2026 - 10:15:00";"08/08/2026 - 10:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 10:30:00";"08/08/2026 - 10:45:00";"0.000000";"kWh";"W";
"08/08/2026 - 10:45:00";"08/08/2026 - 11:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 11:00:00";"08/08/2026 - 11:15:00";"0.494600";"kWh";"W";
"08/08/2026 - 11:15:00";"08/08/2026 - 11:30:00";"0.477300";"kWh";"W";
"08/08/2026 - 11:30:00";"08/08/2026 - 11:45:00";"0.490900";"kWh";"W";
"08/08/2026 - 11:45:00";"08/08/2026 - 12:00:00";"0.228300";"kWh";"W";
"08/08/2026 - 12:00:00";"08/08/2026 - 12:15:00";"0.387100";"kWh";"W";
"08/08/2026 - 12:15:00";"08/08/2026 - 12:30:00";"0.434900";"kWh";"W";
"08/08/2026 - 12:30:00";"08/08/2026 - 12:45:00";"0.000000";"kWh";"W";
"08/08/2026 - 12:45:00";"08/08/2026 - 13:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 13:00:00";"08/08/2026 - 13:15:00";"0.000000";"kWh";"W";
"08/08/2026 - 13:15:00";"08/08/2026 - 13:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 13:30:00";"08/08/2026 - 13:45:00";"0.000000";"kWh";"W";
"08/08/2026 - 13:45:00";"08/08/2026 - 14:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 14:00:00";"08/08/2026 - 14:15:00";"0.000000";"kWh";"W";
"08/08/2026 - 14:15:00";"08/08/2026 - 14:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 14:30:00";"08/08/2026 - 14:45:00";"0.000000";"kWh";"W";
"08/08/2026 - 14:45:00";"08/08/2026 - 15:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 15:00:00";"08/08/2026 - 15:15:00";"0.000000";"kWh";"W";
"08/08/2026 - 15:15:00";"08/08/2026 - 15:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 15:30:00";"08/08/2026 - 15:45:00";"0.000100";"kWh";"W";
"08/08/2026 - 15:45:00";"08/08/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 16:00:00";"08/08/2026 - 16:15:00";"0.000000";"kWh";"W";
"08/08/2026 - 16:15:00";"08/08/2026 - 16:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 16:30:00";"08/08/2026 - 16:45:00";"0.000000";"kWh";"W";
"08/08/2026 - 16:45:00";"08/08/2026 - 17:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 17:00:00";"08/08/2026 - 17:15:00";"0.000000";"kWh";"W";
"08/08/2026 - 17:15:00";"08/08/2026 - 17:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 17:30:00";"08/08/2026 - 17:45:00";"0.000000";"kWh";"W";
"08/08/2026 - 17:45:00";"08/08/2026 - 18:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 18:00:00";"08/08/2026 - 18:15:00";"0.000000";"kWh";"W";
"08/08/2026 - 18:15:00";"08/08/2026 - 18:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 18:30:00";"08/08/2026 - 18:45:00";"0.000000";"kWh";"W";
"08/08/2026 - 18:45:00";"08/08/2026 - 19:00:00";"0.000000";"kWh";"W";
"08/08/2026 - 19:00:00";"08/08/2026 - 19:15:00";"0.000000";"kWh";"W";
"08/08/2026 - 19:15:00";"08/08/2026 - 19:30:00";"0.000000";"kWh";"W";
"08/08/2026 - 19:30:00";"08/08/2026 - 19:45:00";"0.001200";"kWh";"W";
"08/08/2026 - 19:45:00";"08/08/2026 - 20:00:00";"0.012800";"kWh";"W";
"08/08/2026 - 20:00:00";"08/08/2026 - 20:15:00";"0.017400";"kWh";"W";
"08/08/2026 - 20:15:00";"08/08/2026 - 20:30:00";"0.009500";"kWh";"W";
"08/08/2026 - 20:30:00";"08/08/2026 - 20:45:00";"0.019500";"kWh";"W";
"08/08/2026 - 20:45:00";"08/08/2026 - 21:00:00";"0.023500";"kWh";"W";
"08/08/2026 - 21:00:00";"08/08/2026 - 21:15:00";"0.023900";"kWh";"W";
"08/08/2026 - 21:15:00";"08/08/2026 - 21:30:00";"0.023700";"kWh";"W";
"08/08/2026 - 21:30:00";"08/08/2026 - 21:45:00";"0.023500";"kWh";"W";
"08/08/2026 - 21:45:00";"08/08/2026 - 22:00:00";"0.023200";"kWh";"W";
"08/08/2026 - 22:00:00";"08/08/2026 - 22:15:00";"0.023100";"kWh";"W";
"08/08/2026 - 22:15:00";"08/08/2026 - 22:30:00";"0.022900";"kWh";"W";
"08/08/2026 - 22:30:00";"08/08/2026 - 22:45:00";"0.022900";"kWh";"W";
"08/08/2026 - 22:45:00";"08/08/2026 - 23:00:00";"0.023500";"kWh";"W";
"08/08/2026 - 23:00:00";"08/08/2026 - 23:15:00";"0.023600";"kWh";"W";
"08/08/2026 - 23:15:00";"08/08/2026 - 23:30:00";"0.023800";"kWh";"W";
"08/08/2026 - 23:30:00";"08/08/2026 - 23:45:00";"0.031700";"kWh";"W";
"08/08/2026 - 23:45:00";"08/09/2026 - 00:00:00";"0.027400";"kWh";"W";
