﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/02/2026 - 05:30:00";"08/02/2026 - 05:45:00";"0.028500";"kWh";"W";
"08/02/2026 - 05:45:00";"08/02/2026 - 06:00:00";"0.027300";"kWh";"W";
"08/02/2026 - 06:00:00";"08/02/2026 - 06:15:00";"0.021800";"kWh";"W";
"08/02/2026 - 06:15:00";"08/02/2026 - 06:30:00";"0.016900";"kWh";"W";
"08/02/2026 - 06:30:00";"08/02/2026 - 06:45:00";"0.011800";"kWh";"W";
"08/02/2026 - 06:45:00";"08/02/2026 - 07:00:00";"0.006700";"kWh";"W";
"08/02/2026 - 07:00:00";"08/02/2026 - 07:15:00";"0.002200";"kWh";"W";
"08/02/2026 - 07:15:00";"08/02/2026 - 07:30:00";"0.014700";"kWh";"W";
"08/02/2026 - 07:30:00";"08/02/2026 - 07:45:00";"0.014600";"kWh";"W";
"08/02/2026 - 07:45:00";"08/02/2026 - 08:00:00";"0.030000";"kWh";"W";
"08/02/2026 - 08:00:00";"08/02/2026 - 08:15:00";"0.000600";"kWh";"W";
"08/02/2026 - 08:15:00";"08/02/2026 - 08:30:00";"0.536900";"kWh";"W";
"08/02/2026 - 08:30:00";"08/02/2026 - 08:45:00";"0.582500";"kWh";"W";
"08/02/2026 - 08:45:00";"08/02/2026 - 09:00:00";"0.228300";"kWh";"W";
"08/02/2026 - 09:00:00";"08/02/2026 - 09:15:00";"0.014000";"kWh";"W";
"08/02/2026 - 09:15:00";"08/02/2026 - 09:30:00";"0.001800";"kWh";"W";
"08/02/2026 - 09:30:00";"08/02/2026 - 09:45:00";"0.000400";"kWh";"W";
"08/02/2026 - 09:45:00";"08/02/2026 - 10:00:00";"0.000000";"kWh";"W";
"08/02/2026 - 10:00:00";"08/02/2026 - 10:15:00";"0.024600";"kWh";"W";
"08/02/2026 - 10:15:00";"08/02/2026 - 10:30:00";"0.020900";"kWh";"W";
"08/02/2026 - 10:30:00";"08/02/2026 - 10:45:00";"0.048800";"kWh";"W";
"08/02/2026 - 10:45:00";"08/02/2026 - 11:00:00";"0.000400";"kWh";"W";
"08/02/2026 - 11:00:00";"08/02/2026 - 11:15:00";"0.000000";"kWh";"W";
"08/02/2026 - 11:15:00";"08/02/2026 - 11:30:00";"0.008800";"kWh";"W";
"08/02/2026 - 11:30:00";"08/02/2026 - 11:45:00";"0.000000";"kWh";"W";
"08/02/2026 - 11:45:00";"08/02/2026 - 12:00:00";"0.011800";"kWh";"W";
"08/02/2026 - 12:00:00";"08/02/2026 - 12:15:00";"0.146000";"kWh";"W";
"08/02/2026 - 12:15:00";"08/02/2026 - 12:30:00";"0.354900";"kWh";"W";
"08/02/2026 - 12:30:00";"08/02/2026 - 12:45:00";"0.000000";"kWh";"W";
"08/02/2026 - 12:45:00";"08/02/2026 - 13:00:00";"0.002900";"kWh";"W";
"08/02/2026 - 13:00:00";"08/02/2026 - 13:15:00";"0.003400";"kWh";"W";
"08/02/2026 - 13:15:00";"08/02/2026 - 13:30:00";"0.000000";"kWh";"W";
"08/02/2026 - 13:30:00";"08/02/2026 - 13:45:00";"0.000000";"kWh";"W";
"08/02/2026 - 13:45:00";"08/02/2026 - 14:00:00";"0.003600";"kWh";"W";
"08/02/2026 - 14:00:00";"08/02/2026 - 14:15:00";"0.014300";"kWh";"W";
"08/02/2026 - 14:15:00";"08/02/2026 - 14:30:00";"0.425400";"kWh";"W";
"08/02/2026 - 14:30:00";"08/02/2026 - 14:45:00";"0.000000";"kWh";"W";
"08/02/2026 - 14:45:00";"08/02/2026 - 15:00:00";"0.000000";"kWh";"W";
"08/02/2026 - 15:00:00";"08/02/2026 - 15:15:00";"0.000000";"kWh";"W";
"08/02/2026 - 15:15:00";"08/02/2026 - 15:30:00";"0.041000";"kWh";"W";
"08/02/2026 - 15:30:00";"08/02/2026 - 15:45:00";"0.000000";"kWh";"W";
"08/02/2026 - 15:45:00";"08/02/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/02/2026 - 16:00:00";"08/02/2026 - 16:15:00";"0.010400";"kWh";"W";
"08/02/2026 - 16:15:00";"08/02/2026 - 16:30:00";"0.000900";"kWh";"W";
"08/02/2026 - 16:30:00";"08/02/2026 - 16:45:00";"0.000000";"kWh";"W";
"08/02/2026 - 16:45:00";"08/02/2026 - 17:00:00";"0.000000";"kWh";"W";
"08/02/2026 - 17:00:00";"08/02/2026 - 17:15:00";"0.007800";"kWh";"W";
"08/02/2026 - 17:15:00";"08/02/2026 - 17:30:00";"0.000000";"kWh";"W";
"08/02/2026 - 17:30:00";"08/02/2026 - 17:45:00";"0.000000";"kWh";"W";
"08/02/2026 - 17:45:00";"08/02/2026 - 18:00:00";"0.000000";"kWh";"W";
"08/02/2026 - 18:00:00";"08/02/2026 - 18:15:00";"0.000100";"kWh";"W";
"08/02/2026 - 18:15:00";"08/02/2026 - 18:30:00";"0.003900";"kWh";"W";
"08/02/2026 - 18:30:00";"08/02/2026 - 18:45:00";"0.010100";"kWh";"W";
"08/02/2026 - 18:45:00";"08/02/2026 - 19:00:00";"0.012000";"kWh";"W";
"08/02/2026 - 19:00:00";"08/02/2026 - 19:15:00";"0.017600";"kWh";"W";
"08/02/2026 - 19:15:00";"08/02/2026 - 19:30:00";"0.021600";"kWh";"W";
"08/02/2026 - 19:30:00";"08/02/2026 - 19:45:00";"0.010200";"kWh";"W";
"08/02/2026 - 19:45:00";"08/02/2026 - 20:00:00";"0.060100";"kWh";"W";
"08/02/2026 - 20:00:00";"08/02/2026 - 20:15:00";"0.333000";"kWh";"W";
"08/02/2026 - 20:15:00";"08/02/2026 - 20:30:00";"0.127500";"kWh";"W";
"08/02/2026 - 20:30:00";"08/02/2026 - 20:45:00";"0.045100";"kWh";"W";
"08/02/2026 - 20:45:00";"08/02/2026 - 21:00:00";"0.037400";"kWh";"W";
"08/02/2026 - 21:00:00";"08/02/2026 - 21:15:00";"0.040000";"kWh";"W";
"08/02/2026 - 21:15:00";"08/02/2026 - 21:30:00";"0.045700";"kWh";"W";
"08/02/2026 - 21:30:00";"08/02/2026 - 21:45:00";"0.064200";"kWh";"W";
"08/02/2026 - 21:45:00";"08/02/2026 - 22:00:00";"0.063400";"kWh";"W";
"08/02/2026 - 22:00:00";"08/02/2026 - 22:15:00";"0.060300";"kWh";"W";
"08/02/2026 - 22:15:00";"08/02/2026 - 22:30:00";"0.058600";"kWh";"W";
"08/02/2026 - 22:30:00";"08/02/2026 - 22:45:00";"0.042200";"kWh";"W";
"08/02/2026 - 22:45:00";"08/02/2026 - 23:00:00";"0.057500";"kWh";"W";
"08/02/2026 - 23:00:00";"08/02/2026 - 23:15:00";"0.057800";"kWh";"W";
"08/02/2026 - 23:15:00";"08/02/2026 - 23:30:00";"0.065500";"kWh";"W";
"08/02/2026 - 23:30:00";"08/02/2026 - 23:45:00";"0.052200";"kWh";"W";
"08/02/2026 - 23:45:00";"08/03/2026 - 00:00:00";"0.030300";"kWh";"W";
