﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/04/2026 - 06:30:00";"08/04/2026 - 06:45:00";"0.024000";"kWh";"W";
"08/04/2026 - 06:45:00";"08/04/2026 - 07:00:00";"0.022500";"kWh";"W";
"08/04/2026 - 07:00:00";"08/04/2026 - 07:15:00";"0.023400";"kWh";"W";
"08/04/2026 - 07:15:00";"08/04/2026 - 07:30:00";"0.022600";"kWh";"W";
"08/04/2026 - 07:30:00";"08/04/2026 - 07:45:00";"0.030500";"kWh";"W";
"08/04/2026 - 07:45:00";"08/04/2026 - 08:00:00";"0.034600";"kWh";"W";
"08/04/2026 - 08:00:00";"08/04/2026 - 08:15:00";"0.033100";"kWh";"W";
"08/04/2026 - 08:15:00";"08/04/2026 - 08:30:00";"0.019400";"kWh";"W";
"08/04/2026 - 08:30:00";"08/04/2026 - 08:45:00";"0.154800";"kWh";"W";
"08/04/2026 - 08:45:00";"08/04/2026 - 09:00:00";"0.088400";"kWh";"W";
"08/04/2026 - 09:00:00";"08/04/2026 - 09:15:00";"0.073300";"kWh";"W";
"08/04/2026 - 09:15:00";"08/04/2026 - 09:30:00";"0.211500";"kWh";"W";
"08/04/2026 - 09:30:00";"08/04/2026 - 09:45:00";"0.072600";"kWh";"W";
"08/04/2026 - 09:45:00";"08/04/2026 - 10:00:00";"0.051900";"kWh";"W";
"08/04/2026 - 10:00:00";"08/04/2026 - 10:15:00";"0.113900";"kWh";"W";
"08/04/2026 - 10:15:00";"08/04/2026 - 10:30:00";"0.126800";"kWh";"W";
"08/04/2026 - 10:30:00";"08/04/2026 - 10:45:00";"0.362700";"kWh";"W";
"08/04/2026 - 10:45:00";"08/04/2026 - 11:00:00";"0.238300";"kWh";"W";
"08/04/2026 - 11:00:00";"08/04/2026 - 11:15:00";"0.051400";"kWh";"W";
"08/04/2026 - 11:15:00";"08/04/2026 - 11:30:00";"0.217500";"kWh";"W";
"08/04/2026 - 11:30:00";"08/04/2026 - 11:45:00";"0.022700";"kWh";"W";
"08/04/2026 - 11:45:00";"08/04/2026 - 12:00:00";"0.003400";"kWh";"W";
"08/04/2026 - 12:00:00";"08/04/2026 - 12:15:00";"0.000100";"kWh";"W";
"08/04/2026 - 12:15:00";"08/04/2026 - 12:30:00";"0.000000";"kWh";"W";
"08/04/2026 - 12:30:00";"08/04/2026 - 12:45:00";"0.366500";"kWh";"W";
"08/04/2026 - 12:45:00";"08/04/2026 - 13:00:00";"0.181600";"kWh";"W";
"08/04/2026 - 13:00:00";"08/04/2026 - 13:15:00";"0.000000";"kWh";"W";
"08/04/2026 - 13:15:00";"08/04/2026 - 13:30:00";"0.000119";"kWh";"v";
"08/04/2026 - 13:30:00";"08/04/2026 - 13:45:00";"0.000227";"kWh";"v";
"08/04/2026 - 13:45:00";"08/04/2026 - 14:00:00";"0.000128";"kWh";"v";
"08/04/2026 - 14:00:00";"08/04/2026 - 14:15:00";"0.000013";"kWh";"v";
"08/04/2026 - 14:15:00";"08/04/2026 - 14:30:00";"0.000001";"kWh";"v";
"08/04/2026 - 14:30:00";"08/04/2026 - 14:45:00";"0.000000";"kWh";"v";
"08/04/2026 - 14:45:00";"08/04/2026 - 15:00:00";"0.000212";"kWh";"v";
"08/04/2026 - 15:00:00";"08/04/2026 - 15:15:00";"0.000000";"kWh";"W";
"08/04/2026 - 15:15:00";"08/04/2026 - 15:30:00";"0.000000";"kWh";"W";
"08/04/2026 - 15:30:00";"08/04/2026 - 15:45:00";"0.000000";"kWh";"W";
"08/04/2026 - 15:45:00";"08/04/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/04/2026 - 16:00:00";"08/04/2026 - 16:15:00";"0.200600";"kWh";"W";
"08/04/2026 - 16:15:00";"08/04/2026 - 16:30:00";"0.206600";"kWh";"W";
"08/04/2026 - 16:30:00";"08/04/2026 - 16:45:00";"0.114700";"kWh";"W";
"08/04/2026 - 16:45:00";"08/04/2026 - 17:00:00";"0.172400";"kWh";"W";
"08/04/2026 - 17:00:00";"08/04/2026 - 17:15:00";"0.003400";"kWh";"W";
"08/04/2026 - 17:15:00";"08/04/2026 - 17:30:00";"0.000700";"kWh";"W";
"08/04/2026 - 17:30:00";"08/04/2026 - 17:45:00";"0.000100";"kWh";"W";
"08/04/2026 - 17:45:00";"08/04/2026 - 18:00:00";"0.007600";"kWh";"W";
"08/04/2026 - 18:00:00";"08/04/2026 - 18:15:00";"0.276700";"kWh";"W";
"08/04/2026 - 18:15:00";"08/04/2026 - 18:30:00";"0.081100";"kWh";"W";
"08/04/2026 - 18:30:00";"08/04/2026 - 18:45:00";"0.180100";"kWh";"W";
"08/04/2026 - 18:45:00";"08/04/2026 - 19:00:00";"0.062300";"kWh";"W";
"08/04/2026 - 19:00:00";"08/04/2026 - 19:15:00";"0.120400";"kWh";"W";
"08/04/2026 - 19:15:00";"08/04/2026 - 19:30:00";"0.641700";"kWh";"W";
"08/04/2026 - 19:30:00";"08/04/2026 - 19:45:00";"0.875000";"kWh";"W";
"08/04/2026 - 19:45:00";"08/04/2026 - 20:00:00";"0.234600";"kWh";"W";
"08/04/2026 - 20:00:00";"08/04/2026 - 20:15:00";"0.194200";"kWh";"W";
"08/04/2026 - 20:15:00";"08/04/2026 - 20:30:00";"0.183000";"kWh";"W";
"08/04/2026 - 20:30:00";"08/04/2026 - 20:45:00";"0.139600";"kWh";"W";
"08/04/2026 - 20:45:00";"08/04/2026 - 21:00:00";"0.275700";"kWh";"W";
"08/04/2026 - 21:00:00";"08/04/2026 - 21:15:00";"0.638900";"kWh";"W";
"08/04/2026 - 21:15:00";"08/04/2026 - 21:30:00";"0.056100";"kWh";"W";
"08/04/2026 - 21:30:00";"08/04/2026 - 21:45:00";"0.096000";"kWh";"W";
"08/04/2026 - 21:45:00";"08/04/2026 - 22:00:00";"0.066100";"kWh";"W";
"08/04/2026 - 22:00:00";"08/04/2026 - 22:15:00";"0.186300";"kWh";"W";
"08/04/2026 - 22:15:00";"08/04/2026 - 22:30:00";"0.094600";"kWh";"W";
"08/04/2026 - 22:30:00";"08/04/2026 - 22:45:00";"0.047900";"kWh";"W";
"08/04/2026 - 22:45:00";"08/04/2026 - 23:00:00";"0.054900";"kWh";"W";
"08/04/2026 - 23:00:00";"08/04/2026 - 23:15:00";"0.630200";"kWh";"W";
"08/04/2026 - 23:15:00";"08/04/2026 - 23:30:00";"0.156600";"kWh";"W";
"08/04/2026 - 23:30:00";"08/04/2026 - 23:45:00";"0.057300";"kWh";"W";
"08/04/2026 - 23:45:00";"08/05/2026 - 00:00:00";"0.060500";"kWh";"W";
