﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/11/2026 - 15:00:00";"08/11/2026 - 15:15:00";"0.000000";"kWh";"W";
"08/11/2026 - 15:15:00";"08/11/2026 - 15:30:00";"0.000000";"kWh";"W";
"08/11/2026 - 15:30:00";"08/11/2026 - 15:45:00";"0.000000";"kWh";"W";
"08/11/2026 - 15:45:00";"08/11/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/11/2026 - 16:00:00";"08/11/2026 - 16:15:00";"0.000000";"kWh";"W";
"08/11/2026 - 16:15:00";"08/11/2026 - 16:30:00";"0.000000";"kWh";"W";
"08/11/2026 - 16:30:00";"08/11/2026 - 16:45:00";"0.000000";"kWh";"W";
"08/11/2026 - 16:45:00";"08/11/2026 - 17:00:00";"0.000000";"kWh";"W";
"08/11/2026 - 17:00:00";"08/11/2026 - 17:15:00";"0.000000";"kWh";"W";
"08/11/2026 - 17:15:00";"08/11/2026 - 17:30:00";"0.000000";"kWh";"W";
"08/11/2026 - 17:30:00";"08/11/2026 - 17:45:00";"0.001500";"kWh";"W";
"08/11/2026 - 17:45:00";"08/11/2026 - 18:00:00";"0.001500";"kWh";"W";
"08/11/2026 - 18:00:00";"08/11/2026 - 18:15:00";"0.000000";"kWh";"W";
"08/11/2026 - 18:15:00";"08/11/2026 - 18:30:00";"0.000000";"kWh";"W";
"08/11/2026 - 18:30:00";"08/11/2026 - 18:45:00";"0.000800";"kWh";"W";
"08/11/2026 - 18:45:00";"08/11/2026 - 19:00:00";"0.000000";"kWh";"W";
"08/11/2026 - 19:00:00";"08/11/2026 - 19:15:00";"0.000400";"kWh";"W";
"08/11/2026 - 19:15:00";"08/11/2026 - 19:30:00";"0.001200";"kWh";"W";
"08/11/2026 - 19:30:00";"08/11/2026 - 19:45:00";"0.008300";"kWh";"W";
"08/11/2026 - 19:45:00";"08/11/2026 - 20:00:00";"0.017900";"kWh";"W";
"08/11/2026 - 20:00:00";"08/11/2026 - 20:15:00";"0.017100";"kWh";"W";
"08/11/2026 - 20:15:00";"08/11/2026 - 20:30:00";"0.017400";"kWh";"W";
"08/11/2026 - 20:30:00";"08/11/2026 - 20:45:00";"0.021400";"kWh";"W";
"08/11/2026 - 20:45:00";"08/11/2026 - 21:00:00";"0.022700";"kWh";"W";
"08/11/2026 - 21:00:00";"08/11/2026 - 21:15:00";"0.018400";"kWh";"W";
"08/11/2026 - 21:15:00";"08/11/2026 - 21:30:00";"0.019000";"kWh";"W";
"08/11/2026 - 21:30:00";"08/11/2026 - 21:45:00";"0.023500";"kWh";"W";
"08/11/2026 - 21:45:00";"08/11/2026 - 22:00:00";"0.023600";"kWh";"W";
"08/11/2026 - 22:00:00";"08/11/2026 - 22:15:00";"0.023300";"kWh";"W";
"08/11/2026 - 22:15:00";"08/11/2026 - 22:30:00";"0.022900";"kWh";"W";
"08/11/2026 - 22:30:00";"08/11/2026 - 22:45:00";"0.022800";"kWh";"W";
"08/11/2026 - 22:45:00";"08/11/2026 - 23:00:00";"0.022600";"kWh";"W";
"08/11/2026 - 23:00:00";"08/11/2026 - 23:15:00";"0.022400";"kWh";"W";
"08/11/2026 - 23:15:00";"08/11/2026 - 23:30:00";"0.019600";"kWh";"W";
"08/11/2026 - 23:30:00";"08/11/2026 - 23:45:00";"0.017700";"kWh";"W";
"08/11/2026 - 23:45:00";"08/12/2026 - 00:00:00";"0.023300";"kWh";"W";
