﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/01/2026 - 12:30:00";"08/01/2026 - 12:45:00";"0.000000";"kWh";"W";
"08/01/2026 - 12:45:00";"08/01/2026 - 13:00:00";"0.000000";"kWh";"W";
"08/01/2026 - 13:00:00";"08/01/2026 - 13:15:00";"0.000000";"kWh";"W";
"08/01/2026 - 13:15:00";"08/01/2026 - 13:30:00";"0.000000";"kWh";"W";
"08/01/2026 - 13:30:00";"08/01/2026 - 13:45:00";"0.000000";"kWh";"W";
"08/01/2026 - 13:45:00";"08/01/2026 - 14:00:00";"0.000000";"kWh";"W";
"08/01/2026 - 14:00:00";"08/01/2026 - 14:15:00";"0.000000";"kWh";"W";
"08/01/2026 - 14:15:00";"08/01/2026 - 14:30:00";"0.000000";"kWh";"W";
"08/01/2026 - 14:30:00";"08/01/2026 - 14:45:00";"0.000000";"kWh";"W";
"08/01/2026 - 14:45:00";"08/01/2026 - 15:00:00";"0.000000";"kWh";"W";
"08/01/2026 - 15:00:00";"08/01/2026 - 15:15:00";"0.000000";"kWh";"W";
"08/01/2026 - 15:15:00";"08/01/2026 - 15:30:00";"0.000000";"kWh";"W";
"08/01/2026 - 15:30:00";"08/01/2026 - 15:45:00";"0.000000";"kWh";"W";
"08/01/2026 - 15:45:00";"08/01/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/01/2026 - 16:00:00";"08/01/2026 - 16:15:00";"0.003700";"kWh";"W";
"08/01/2026 - 16:15:00";"08/01/2026 - 16:30:00";"0.001300";"kWh";"W";
"08/01/2026 - 16:30:00";"08/01/2026 - 16:45:00";"0.018400";"kWh";"W";
"08/01/2026 - 16:45:00";"08/01/2026 - 17:00:00";"0.005300";"kWh";"W";
"08/01/2026 - 17:00:00";"08/01/2026 - 17:15:00";"0.000000";"kWh";"W";
"08/01/2026 - 17:15:00";"08/01/2026 - 17:30:00";"0.000000";"kWh";"W";
"08/01/2026 - 17:30:00";"08/01/2026 - 17:45:00";"0.000000";"kWh";"W";
"08/01/2026 - 17:45:00";"08/01/2026 - 18:00:00";"0.000000";"kWh";"W";
"08/01/2026 - 18:00:00";"08/01/2026 - 18:15:00";"0.001600";"kWh";"W";
"08/01/2026 - 18:15:00";"08/01/2026 - 18:30:00";"0.009900";"kWh";"W";
"08/01/2026 - 18:30:00";"08/01/2026 - 18:45:00";"0.107600";"kWh";"W";
"08/01/2026 - 18:45:00";"08/01/2026 - 19:00:00";"0.340800";"kWh";"W";
"08/01/2026 - 19:00:00";"08/01/2026 - 19:15:00";"0.676000";"kWh";"W";
"08/01/2026 - 19:15:00";"08/01/2026 - 19:30:00";"0.484400";"kWh";"W";
"08/01/2026 - 19:30:00";"08/01/2026 - 19:45:00";"0.246800";"kWh";"W";
"08/01/2026 - 19:45:00";"08/01/2026 - 20:00:00";"0.034000";"kWh";"W";
"08/01/2026 - 20:00:00";"08/01/2026 - 20:15:00";"0.024100";"kWh";"W";
"08/01/2026 - 20:15:00";"08/01/2026 - 20:30:00";"0.024500";"kWh";"W";
"08/01/2026 - 20:30:00";"08/01/2026 - 20:45:00";"0.015900";"kWh";"W";
"08/01/2026 - 20:45:00";"08/01/2026 - 21:00:00";"0.036800";"kWh";"W";
"08/01/2026 - 21:00:00";"08/01/2026 - 21:15:00";"0.040000";"kWh";"W";
"08/01/2026 - 21:15:00";"08/01/2026 - 21:30:00";"0.040200";"kWh";"W";
"08/01/2026 - 21:30:00";"08/01/2026 - 21:45:00";"0.039800";"kWh";"W";
"08/01/2026 - 21:45:00";"08/01/2026 - 22:00:00";"0.049500";"kWh";"W";
"08/01/2026 - 22:00:00";"08/01/2026 - 22:15:00";"0.068200";"kWh";"W";
"08/01/2026 - 22:15:00";"08/01/2026 - 22:30:00";"0.049700";"kWh";"W";
"08/01/2026 - 22:30:00";"08/01/2026 - 22:45:00";"0.035300";"kWh";"W";
"08/01/2026 - 22:45:00";"08/01/2026 - 23:00:00";"0.041100";"kWh";"W";
"08/01/2026 - 23:00:00";"08/01/2026 - 23:15:00";"0.056500";"kWh";"W";
"08/01/2026 - 23:15:00";"08/01/2026 - 23:30:00";"0.047000";"kWh";"W";
"08/01/2026 - 23:30:00";"08/01/2026 - 23:45:00";"0.045600";"kWh";"W";
"08/01/2026 - 23:45:00";"08/02/2026 - 00:00:00";"0.044900";"kWh";"W";
