﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/06/2026 - 09:45:00";"08/06/2026 - 10:00:00";"0.012900";"kWh";"W";
"08/06/2026 - 10:00:00";"08/06/2026 - 10:15:00";"0.006100";"kWh";"W";
"08/06/2026 - 10:15:00";"08/06/2026 - 10:30:00";"0.013200";"kWh";"W";
"08/06/2026 - 10:30:00";"08/06/2026 - 10:45:00";"0.006800";"kWh";"W";
"08/06/2026 - 10:45:00";"08/06/2026 - 11:00:00";"0.014900";"kWh";"W";
"08/06/2026 - 11:00:00";"08/06/2026 - 11:15:00";"0.006200";"kWh";"W";
"08/06/2026 - 11:15:00";"08/06/2026 - 11:30:00";"0.031500";"kWh";"W";
"08/06/2026 - 11:30:00";"08/06/2026 - 11:45:00";"0.002600";"kWh";"W";
"08/06/2026 - 11:45:00";"08/06/2026 - 12:00:00";"0.000100";"kWh";"W";
"08/06/2026 - 12:00:00";"08/06/2026 - 12:15:00";"0.206100";"kWh";"W";
"08/06/2026 - 12:15:00";"08/06/2026 - 12:30:00";"0.392900";"kWh";"W";
"08/06/2026 - 12:30:00";"08/06/2026 - 12:45:00";"0.097800";"kWh";"W";
"08/06/2026 - 12:45:00";"08/06/2026 - 13:00:00";"0.005900";"kWh";"W";
"08/06/2026 - 13:00:00";"08/06/2026 - 13:15:00";"0.228200";"kWh";"W";
"08/06/2026 - 13:15:00";"08/06/2026 - 13:30:00";"0.016000";"kWh";"W";
"08/06/2026 - 13:30:00";"08/06/2026 - 13:45:00";"0.177200";"kWh";"W";
"08/06/2026 - 13:45:00";"08/06/2026 - 14:00:00";"0.064600";"kWh";"W";
"08/06/2026 - 14:00:00";"08/06/2026 - 14:15:00";"0.031100";"kWh";"W";
"08/06/2026 - 14:15:00";"08/06/2026 - 14:30:00";"0.000500";"kWh";"W";
"08/06/2026 - 14:30:00";"08/06/2026 - 14:45:00";"0.032000";"kWh";"W";
"08/06/2026 - 14:45:00";"08/06/2026 - 15:00:00";"0.055300";"kWh";"W";
"08/06/2026 - 15:00:00";"08/06/2026 - 15:15:00";"0.001200";"kWh";"W";
"08/06/2026 - 15:15:00";"08/06/2026 - 15:30:00";"0.003900";"kWh";"W";
"08/06/2026 - 15:30:00";"08/06/2026 - 15:45:00";"0.363900";"kWh";"W";
"08/06/2026 - 15:45:00";"08/06/2026 - 16:00:00";"0.186200";"kWh";"W";
"08/06/2026 - 16:00:00";"08/06/2026 - 16:15:00";"0.000500";"kWh";"W";
"08/06/2026 - 16:15:00";"08/06/2026 - 16:30:00";"0.006600";"kWh";"W";
"08/06/2026 - 16:30:00";"08/06/2026 - 16:45:00";"0.002400";"kWh";"W";
"08/06/2026 - 16:45:00";"08/06/2026 - 17:00:00";"0.017400";"kWh";"W";
"08/06/2026 - 17:00:00";"08/06/2026 - 17:15:00";"0.003800";"kWh";"W";
"08/06/2026 - 17:15:00";"08/06/2026 - 17:30:00";"0.000700";"kWh";"W";
"08/06/2026 - 17:30:00";"08/06/2026 - 17:45:00";"0.000000";"kWh";"W";
"08/06/2026 - 17:45:00";"08/06/2026 - 18:00:00";"0.003500";"kWh";"W";
"08/06/2026 - 18:00:00";"08/06/2026 - 18:15:00";"0.013100";"kWh";"W";
"08/06/2026 - 18:15:00";"08/06/2026 - 18:30:00";"0.010500";"kWh";"W";
"08/06/2026 - 18:30:00";"08/06/2026 - 18:45:00";"0.007000";"kWh";"W";
"08/06/2026 - 18:45:00";"08/06/2026 - 19:00:00";"0.001700";"kWh";"W";
"08/06/2026 - 19:00:00";"08/06/2026 - 19:15:00";"0.017500";"kWh";"W";
"08/06/2026 - 19:15:00";"08/06/2026 - 19:30:00";"0.041700";"kWh";"W";
"08/06/2026 - 19:30:00";"08/06/2026 - 19:45:00";"0.040100";"kWh";"W";
"08/06/2026 - 19:45:00";"08/06/2026 - 20:00:00";"0.041000";"kWh";"W";
"08/06/2026 - 20:00:00";"08/06/2026 - 20:15:00";"0.045800";"kWh";"W";
"08/06/2026 - 20:15:00";"08/06/2026 - 20:30:00";"0.037400";"kWh";"W";
"08/06/2026 - 20:30:00";"08/06/2026 - 20:45:00";"0.053400";"kWh";"W";
"08/06/2026 - 20:45:00";"08/06/2026 - 21:00:00";"0.040300";"kWh";"W";
"08/06/2026 - 21:00:00";"08/06/2026 - 21:15:00";"0.053900";"kWh";"W";
"08/06/2026 - 21:15:00";"08/06/2026 - 21:30:00";"0.046400";"kWh";"W";
"08/06/2026 - 21:30:00";"08/06/2026 - 21:45:00";"0.044500";"kWh";"W";
"08/06/2026 - 21:45:00";"08/06/2026 - 22:00:00";"0.045800";"kWh";"W";
"08/06/2026 - 22:00:00";"08/06/2026 - 22:15:00";"0.051300";"kWh";"W";
"08/06/2026 - 22:15:00";"08/06/2026 - 22:30:00";"0.050900";"kWh";"W";
"08/06/2026 - 22:30:00";"08/06/2026 - 22:45:00";"0.048700";"kWh";"W";
"08/06/2026 - 22:45:00";"08/06/2026 - 23:00:00";"0.055700";"kWh";"W";
"08/06/2026 - 23:00:00";"08/06/2026 - 23:15:00";"0.054500";"kWh";"W";
"08/06/2026 - 23:15:00";"08/06/2026 - 23:30:00";"0.063700";"kWh";"W";
"08/06/2026 - 23:30:00";"08/06/2026 - 23:45:00";"0.035800";"kWh";"W";
"08/06/2026 - 23:45:00";"08/07/2026 - 00:00:00";"0.035400";"kWh";"W";
