﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/14/2026 - 15:15:00";"08/14/2026 - 15:30:00";"0.389100";"kWh";"W";
"08/14/2026 - 15:30:00";"08/14/2026 - 15:45:00";"0.736900";"kWh";"W";
"08/14/2026 - 15:45:00";"08/14/2026 - 16:00:00";"0.471500";"kWh";"W";
"08/14/2026 - 16:00:00";"08/14/2026 - 16:15:00";"0.420900";"kWh";"W";
"08/14/2026 - 16:15:00";"08/14/2026 - 16:30:00";"0.159800";"kWh";"W";
"08/14/2026 - 16:30:00";"08/14/2026 - 16:45:00";"0.010400";"kWh";"W";
"08/14/2026 - 16:45:00";"08/14/2026 - 17:00:00";"0.016500";"kWh";"W";
"08/14/2026 - 17:00:00";"08/14/2026 - 17:15:00";"0.008100";"kWh";"W";
"08/14/2026 - 17:15:00";"08/14/2026 - 17:30:00";"0.019200";"kWh";"W";
"08/14/2026 - 17:30:00";"08/14/2026 - 17:45:00";"0.006500";"kWh";"W";
"08/14/2026 - 17:45:00";"08/14/2026 - 18:00:00";"0.016700";"kWh";"W";
"08/14/2026 - 18:00:00";"08/14/2026 - 18:15:00";"0.388500";"kWh";"W";
"08/14/2026 - 18:15:00";"08/14/2026 - 18:30:00";"0.669600";"kWh";"W";
"08/14/2026 - 18:30:00";"08/14/2026 - 18:45:00";"0.061700";"kWh";"W";
"08/14/2026 - 18:45:00";"08/14/2026 - 19:00:00";"0.050200";"kWh";"W";
"08/14/2026 - 19:00:00";"08/14/2026 - 19:15:00";"0.029800";"kWh";"W";
"08/14/2026 - 19:15:00";"08/14/2026 - 19:30:00";"0.049800";"kWh";"W";
"08/14/2026 - 19:30:00";"08/14/2026 - 19:45:00";"0.028800";"kWh";"W";
"08/14/2026 - 19:45:00";"08/14/2026 - 20:00:00";"0.485800";"kWh";"W";
"08/14/2026 - 20:00:00";"08/14/2026 - 20:15:00";"0.583200";"kWh";"W";
"08/14/2026 - 20:15:00";"08/14/2026 - 20:30:00";"0.712300";"kWh";"W";
"08/14/2026 - 20:30:00";"08/14/2026 - 20:45:00";"0.116800";"kWh";"W";
"08/14/2026 - 20:45:00";"08/14/2026 - 21:00:00";"0.062600";"kWh";"W";
"08/14/2026 - 21:00:00";"08/14/2026 - 21:15:00";"0.220500";"kWh";"W";
"08/14/2026 - 21:15:00";"08/14/2026 - 21:30:00";"0.502500";"kWh";"W";
"08/14/2026 - 21:30:00";"08/14/2026 - 21:45:00";"0.081800";"kWh";"W";
"08/14/2026 - 21:45:00";"08/14/2026 - 22:00:00";"0.061000";"kWh";"W";
"08/14/2026 - 22:00:00";"08/14/2026 - 22:15:00";"0.069500";"kWh";"W";
"08/14/2026 - 22:15:00";"08/14/2026 - 22:30:00";"0.080100";"kWh";"W";
"08/14/2026 - 22:30:00";"08/14/2026 - 22:45:00";"0.047900";"kWh";"W";
"08/14/2026 - 22:45:00";"08/14/2026 - 23:00:00";"0.043800";"kWh";"W";
"08/14/2026 - 23:00:00";"08/14/2026 - 23:15:00";"0.035700";"kWh";"W";
"08/14/2026 - 23:15:00";"08/14/2026 - 23:30:00";"0.033700";"kWh";"W";
"08/14/2026 - 23:30:00";"08/14/2026 - 23:45:00";"0.049800";"kWh";"W";
"08/14/2026 - 23:45:00";"08/15/2026 - 00:00:00";"0.035000";"kWh";"W";
