 ,Production (W)
2026-08-14 16:00,357.8
2026-08-14 16:05,350.7
2026-08-14 16:10,343.2
2026-08-14 16:15,339.9
2026-08-14 16:20,323.3
2026-08-14 16:25,317.8
2026-08-14 16:30,323.2
2026-08-14 16:35,316.6
2026-08-14 16:40,303.5
2026-08-14 16:45,278.9
2026-08-14 16:50,271.3
2026-08-14 16:55,269.1
2026-08-14 17:00,282.7
2026-08-14 17:05,264.4
2026-08-14 17:10,264.5
2026-08-14 17:15,250.3
2026-08-14 17:20,255.5
2026-08-14 17:25,250.3
2026-08-14 17:30,241.5
2026-08-14 17:35,199.5
2026-08-14 17:40,186.7
2026-08-14 17:45,219.8
2026-08-14 17:50,215.6
2026-08-14 17:55,208.6
2026-08-14 18:00,199
2026-08-14 18:05,166.8
2026-08-14 18:10,171.1
2026-08-14 18:15,103.8
2026-08-14 18:20,81.2
2026-08-14 18:25,125
2026-08-14 18:30,129.1
2026-08-14 18:35,147.4
2026-08-14 18:40,146.7
2026-08-14 18:45,142.7
2026-08-14 18:50,135.9
2026-08-14 18:55,130.7
2026-08-14 19:00,123.7
2026-08-14 19:05,116.4
2026-08-14 19:10,108.8
2026-08-14 19:15,101.7
2026-08-14 19:20,94.2
2026-08-14 19:25,86.5
2026-08-14 19:30,78.2
2026-08-14 19:35,69
2026-08-14 19:40,63.5
2026-08-14 19:45,55.9
2026-08-14 19:50,49.1
2026-08-14 19:55,42.5
2026-08-14 20:00,36.3
2026-08-14 20:05,30.5
2026-08-14 20:10,24.3
2026-08-14 20:15,17.5
2026-08-14 20:20,10.4
2026-08-14 20:25,5.2
2026-08-14 20:30,3.4
2026-08-14 20:35,2.4
2026-08-14 20:55,0
2026-08-14 21:15,0
2026-08-14 21:35,0
2026-08-14 21:55,0
2026-08-14 22:15,0
2026-08-14 22:35,0
2026-08-14 22:55,0
2026-08-14 23:15,0
2026-08-14 23:35,0
2026-08-14 23:55,0
