﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/10/2026 - 06:45:00";"08/10/2026 - 07:00:00";"0.016300";"kWh";"W";
"08/10/2026 - 07:00:00";"08/10/2026 - 07:15:00";"0.014800";"kWh";"W";
"08/10/2026 - 07:15:00";"08/10/2026 - 07:30:00";"0.010000";"kWh";"W";
"08/10/2026 - 07:30:00";"08/10/2026 - 07:45:00";"0.001900";"kWh";"W";
"08/10/2026 - 07:45:00";"08/10/2026 - 08:00:00";"0.005200";"kWh";"W";
"08/10/2026 - 08:00:00";"08/10/2026 - 08:15:00";"0.012300";"kWh";"W";
"08/10/2026 - 08:15:00";"08/10/2026 - 08:30:00";"0.000000";"kWh";"W";
"08/10/2026 - 08:30:00";"08/10/2026 - 08:45:00";"0.000000";"kWh";"W";
"08/10/2026 - 08:45:00";"08/10/2026 - 09:00:00";"0.001100";"kWh";"W";
"08/10/2026 - 09:00:00";"08/10/2026 - 09:15:00";"0.000000";"kWh";"W";
"08/10/2026 - 09:15:00";"08/10/2026 - 09:30:00";"0.000000";"kWh";"W";
"08/10/2026 - 09:30:00";"08/10/2026 - 09:45:00";"0.000000";"kWh";"W";
"08/10/2026 - 09:45:00";"08/10/2026 - 10:00:00";"0.000000";"kWh";"W";
"08/10/2026 - 10:00:00";"08/10/2026 - 10:15:00";"0.004500";"kWh";"W";
"08/10/2026 - 10:15:00";"08/10/2026 - 10:30:00";"0.005700";"kWh";"W";
"08/10/2026 - 10:30:00";"08/10/2026 - 10:45:00";"0.007900";"kWh";"W";
"08/10/2026 - 10:45:00";"08/10/2026 - 11:00:00";"0.003200";"kWh";"W";
"08/10/2026 - 11:00:00";"08/10/2026 - 11:15:00";"0.005600";"kWh";"W";
"08/10/2026 - 11:15:00";"08/10/2026 - 11:30:00";"0.000000";"kWh";"W";
"08/10/2026 - 11:30:00";"08/10/2026 - 11:45:00";"0.000000";"kWh";"W";
"08/10/2026 - 11:45:00";"08/10/2026 - 12:00:00";"0.000000";"kWh";"W";
"08/10/2026 - 12:00:00";"08/10/2026 - 12:15:00";"0.000000";"kWh";"W";
"08/10/2026 - 12:15:00";"08/10/2026 - 12:30:00";"0.002600";"kWh";"W";
"08/10/2026 - 12:30:00";"08/10/2026 - 12:45:00";"0.006400";"kWh";"W";
"08/10/2026 - 12:45:00";"08/10/2026 - 13:00:00";"0.008300";"kWh";"W";
"08/10/2026 - 13:00:00";"08/10/2026 - 13:15:00";"0.006400";"kWh";"W";
"08/10/2026 - 13:15:00";"08/10/2026 - 13:30:00";"0.005600";"kWh";"W";
"08/10/2026 - 13:30:00";"08/10/2026 - 13:45:00";"0.000200";"kWh";"W";
"08/10/2026 - 13:45:00";"08/10/2026 - 14:00:00";"0.001400";"kWh";"W";
"08/10/2026 - 14:00:00";"08/10/2026 - 14:15:00";"0.001200";"kWh";"W";
"08/10/2026 - 14:15:00";"08/10/2026 - 14:30:00";"0.000000";"kWh";"W";
"08/10/2026 - 14:30:00";"08/10/2026 - 14:45:00";"0.000000";"kWh";"W";
"08/10/2026 - 14:45:00";"08/10/2026 - 15:00:00";"0.000000";"kWh";"W";
"08/10/2026 - 15:00:00";"08/10/2026 - 15:15:00";"0.000000";"kWh";"W";
"08/10/2026 - 15:15:00";"08/10/2026 - 15:30:00";"0.000000";"kWh";"W";
"08/10/2026 - 15:30:00";"08/10/2026 - 15:45:00";"0.000000";"kWh";"W";
"08/10/2026 - 15:45:00";"08/10/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/10/2026 - 16:00:00";"08/10/2026 - 16:15:00";"0.000000";"kWh";"W";
"08/10/2026 - 16:15:00";"08/10/2026 - 16:30:00";"0.000000";"kWh";"W";
"08/10/2026 - 16:30:00";"08/10/2026 - 16:45:00";"0.000000";"kWh";"W";
"08/10/2026 - 16:45:00";"08/10/2026 - 17:00:00";"0.000000";"kWh";"W";
"08/10/2026 - 17:00:00";"08/10/2026 - 17:15:00";"0.007700";"kWh";"W";
"08/10/2026 - 17:15:00";"08/10/2026 - 17:30:00";"0.007100";"kWh";"W";
"08/10/2026 - 17:30:00";"08/10/2026 - 17:45:00";"0.001800";"kWh";"W";
"08/10/2026 - 17:45:00";"08/10/2026 - 18:00:00";"0.000500";"kWh";"W";
"08/10/2026 - 18:00:00";"08/10/2026 - 18:15:00";"0.000300";"kWh";"W";
"08/10/2026 - 18:15:00";"08/10/2026 - 18:30:00";"0.000100";"kWh";"W";
"08/10/2026 - 18:30:00";"08/10/2026 - 18:45:00";"0.000100";"kWh";"W";
"08/10/2026 - 18:45:00";"08/10/2026 - 19:00:00";"0.000400";"kWh";"W";
"08/10/2026 - 19:00:00";"08/10/2026 - 19:15:00";"0.000000";"kWh";"W";
"08/10/2026 - 19:15:00";"08/10/2026 - 19:30:00";"0.000000";"kWh";"W";
"08/10/2026 - 19:30:00";"08/10/2026 - 19:45:00";"0.000800";"kWh";"W";
"08/10/2026 - 19:45:00";"08/10/2026 - 20:00:00";"0.004900";"kWh";"W";
"08/10/2026 - 20:00:00";"08/10/2026 - 20:15:00";"0.012400";"kWh";"W";
"08/10/2026 - 20:15:00";"08/10/2026 - 20:30:00";"0.016600";"kWh";"W";
"08/10/2026 - 20:30:00";"08/10/2026 - 20:45:00";"0.021300";"kWh";"W";
"08/10/2026 - 20:45:00";"08/10/2026 - 21:00:00";"0.023000";"kWh";"W";
"08/10/2026 - 21:00:00";"08/10/2026 - 21:15:00";"0.023700";"kWh";"W";
"08/10/2026 - 21:15:00";"08/10/2026 - 21:30:00";"0.023900";"kWh";"W";
"08/10/2026 - 21:30:00";"08/10/2026 - 21:45:00";"0.023800";"kWh";"W";
"08/10/2026 - 21:45:00";"08/10/2026 - 22:00:00";"0.024600";"kWh";"W";
"08/10/2026 - 22:00:00";"08/10/2026 - 22:15:00";"0.029300";"kWh";"W";
"08/10/2026 - 22:15:00";"08/10/2026 - 22:30:00";"0.048500";"kWh";"W";
"08/10/2026 - 22:30:00";"08/10/2026 - 22:45:00";"0.054400";"kWh";"W";
"08/10/2026 - 22:45:00";"08/10/2026 - 23:00:00";"0.027400";"kWh";"W";
"08/10/2026 - 23:00:00";"08/10/2026 - 23:15:00";"0.025100";"kWh";"W";
"08/10/2026 - 23:15:00";"08/10/2026 - 23:30:00";"0.024800";"kWh";"W";
"08/10/2026 - 23:30:00";"08/10/2026 - 23:45:00";"0.024600";"kWh";"W";
"08/10/2026 - 23:45:00";"08/11/2026 - 00:00:00";"0.024200";"kWh";"W";
