﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/15/2026 - 16:45:00";"08/15/2026 - 17:00:00";"0.862600";"kWh";"W";
"08/15/2026 - 17:00:00";"08/15/2026 - 17:15:00";"0.357400";"kWh";"W";
"08/15/2026 - 17:15:00";"08/15/2026 - 17:30:00";"0.055000";"kWh";"W";
"08/15/2026 - 17:30:00";"08/15/2026 - 17:45:00";"0.068700";"kWh";"W";
"08/15/2026 - 17:45:00";"08/15/2026 - 18:00:00";"0.019300";"kWh";"W";
"08/15/2026 - 18:00:00";"08/15/2026 - 18:15:00";"0.006600";"kWh";"W";
"08/15/2026 - 18:15:00";"08/15/2026 - 18:30:00";"0.029000";"kWh";"W";
"08/15/2026 - 18:30:00";"08/15/2026 - 18:45:00";"0.063900";"kWh";"W";
"08/15/2026 - 18:45:00";"08/15/2026 - 19:00:00";"0.058900";"kWh";"W";
"08/15/2026 - 19:00:00";"08/15/2026 - 19:15:00";"0.156400";"kWh";"W";
"08/15/2026 - 19:15:00";"08/15/2026 - 19:30:00";"0.139900";"kWh";"W";
"08/15/2026 - 19:30:00";"08/15/2026 - 19:45:00";"0.047600";"kWh";"W";
"08/15/2026 - 19:45:00";"08/15/2026 - 20:00:00";"0.042800";"kWh";"W";
"08/15/2026 - 20:00:00";"08/15/2026 - 20:15:00";"0.047900";"kWh";"W";
"08/15/2026 - 20:15:00";"08/15/2026 - 20:30:00";"0.052400";"kWh";"W";
"08/15/2026 - 20:30:00";"08/15/2026 - 20:45:00";"0.064400";"kWh";"W";
"08/15/2026 - 20:45:00";"08/15/2026 - 21:00:00";"0.045900";"kWh";"W";
"08/15/2026 - 21:00:00";"08/15/2026 - 21:15:00";"0.058500";"kWh";"W";
"08/15/2026 - 21:15:00";"08/15/2026 - 21:30:00";"0.066900";"kWh";"W";
"08/15/2026 - 21:30:00";"08/15/2026 - 21:45:00";"0.072900";"kWh";"W";
"08/15/2026 - 21:45:00";"08/15/2026 - 22:00:00";"0.071600";"kWh";"W";
"08/15/2026 - 22:00:00";"08/15/2026 - 22:15:00";"0.070600";"kWh";"W";
"08/15/2026 - 22:15:00";"08/15/2026 - 22:30:00";"0.071400";"kWh";"W";
"08/15/2026 - 22:30:00";"08/15/2026 - 22:45:00";"0.071000";"kWh";"W";
"08/15/2026 - 22:45:00";"08/15/2026 - 23:00:00";"0.070400";"kWh";"W";
"08/15/2026 - 23:00:00";"08/15/2026 - 23:15:00";"0.063500";"kWh";"W";
"08/15/2026 - 23:15:00";"08/15/2026 - 23:30:00";"0.045000";"kWh";"W";
"08/15/2026 - 23:30:00";"08/15/2026 - 23:45:00";"0.045800";"kWh";"W";
"08/15/2026 - 23:45:00";"08/16/2026 - 00:00:00";"0.046200";"kWh";"W";
