﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"08/12/2026 - 15:45:00";"08/12/2026 - 16:00:00";"0.000000";"kWh";"W";
"08/12/2026 - 16:00:00";"08/12/2026 - 16:15:00";"0.000000";"kWh";"W";
"08/12/2026 - 16:15:00";"08/12/2026 - 16:30:00";"0.000000";"kWh";"W";
"08/12/2026 - 16:30:00";"08/12/2026 - 16:45:00";"0.000000";"kWh";"W";
"08/12/2026 - 16:45:00";"08/12/2026 - 17:00:00";"0.000000";"kWh";"W";
"08/12/2026 - 17:00:00";"08/12/2026 - 17:15:00";"0.000000";"kWh";"W";
"08/12/2026 - 17:15:00";"08/12/2026 - 17:30:00";"0.000000";"kWh";"W";
"08/12/2026 - 17:30:00";"08/12/2026 - 17:45:00";"0.000000";"kWh";"W";
"08/12/2026 - 17:45:00";"08/12/2026 - 18:00:00";"0.000000";"kWh";"W";
"08/12/2026 - 18:00:00";"08/12/2026 - 18:15:00";"0.000000";"kWh";"W";
"08/12/2026 - 18:15:00";"08/12/2026 - 18:30:00";"0.000000";"kWh";"W";
"08/12/2026 - 18:30:00";"08/12/2026 - 18:45:00";"0.000000";"kWh";"W";
"08/12/2026 - 18:45:00";"08/12/2026 - 19:00:00";"0.000000";"kWh";"W";
"08/12/2026 - 19:00:00";"08/12/2026 - 19:15:00";"0.000000";"kWh";"W";
"08/12/2026 - 19:15:00";"08/12/2026 - 19:30:00";"0.001000";"kWh";"W";
"08/12/2026 - 19:30:00";"08/12/2026 - 19:45:00";"0.008100";"kWh";"W";
"08/12/2026 - 19:45:00";"08/12/2026 - 20:00:00";"0.017500";"kWh";"W";
"08/12/2026 - 20:00:00";"08/12/2026 - 20:15:00";"0.022000";"kWh";"W";
"08/12/2026 - 20:15:00";"08/12/2026 - 20:30:00";"0.022400";"kWh";"W";
"08/12/2026 - 20:30:00";"08/12/2026 - 20:45:00";"0.022900";"kWh";"W";
"08/12/2026 - 20:45:00";"08/12/2026 - 21:00:00";"0.023700";"kWh";"W";
"08/12/2026 - 21:00:00";"08/12/2026 - 21:15:00";"0.023300";"kWh";"W";
"08/12/2026 - 21:15:00";"08/12/2026 - 21:30:00";"0.027000";"kWh";"W";
"08/12/2026 - 21:30:00";"08/12/2026 - 21:45:00";"0.016000";"kWh";"W";
"08/12/2026 - 21:45:00";"08/12/2026 - 22:00:00";"0.021700";"kWh";"W";
"08/12/2026 - 22:00:00";"08/12/2026 - 22:15:00";"0.023800";"kWh";"W";
"08/12/2026 - 22:15:00";"08/12/2026 - 22:30:00";"0.023600";"kWh";"W";
"08/12/2026 - 22:30:00";"08/12/2026 - 22:45:00";"0.023100";"kWh";"W";
"08/12/2026 - 22:45:00";"08/12/2026 - 23:00:00";"0.022700";"kWh";"W";
"08/12/2026 - 23:00:00";"08/12/2026 - 23:15:00";"0.022900";"kWh";"W";
"08/12/2026 - 23:15:00";"08/12/2026 - 23:30:00";"0.022700";"kWh";"W";
"08/12/2026 - 23:30:00";"08/12/2026 - 23:45:00";"0.017700";"kWh";"W";
"08/12/2026 - 23:45:00";"08/13/2026 - 00:00:00";"0.020500";"kWh";"W";
