 ,Production (W)
2026-08-12 13:00,473.2
2026-08-12 13:05,475.6
2026-08-12 13:10,475.7
2026-08-12 13:15,460.5
2026-08-12 13:20,461.5
2026-08-12 13:25,475.4
2026-08-12 13:30,477.8
2026-08-12 13:35,478.2
2026-08-12 13:40,472.7
2026-08-12 13:45,471.4
2026-08-12 13:50,475
2026-08-12 13:55,471.5
2026-08-12 14:00,468
2026-08-12 14:05,466.5
2026-08-12 14:10,467.3
2026-08-12 14:15,463.7
2026-08-12 14:20,459.6
2026-08-12 14:25,453.4
2026-08-12 14:30,451.9
2026-08-12 14:35,451.1
2026-08-12 14:40,443.3
2026-08-12 14:45,443
2026-08-12 14:50,439.8
2026-08-12 14:55,436
2026-08-12 15:00,434
2026-08-12 15:05,427.2
2026-08-12 15:10,426.3
2026-08-12 15:15,420.7
2026-08-12 15:20,413.4
2026-08-12 15:25,410.2
2026-08-12 15:30,403.7
2026-08-12 15:35,401.4
2026-08-12 15:40,397.1
2026-08-12 15:45,382.9
2026-08-12 15:50,347
2026-08-12 15:55,365.9
2026-08-12 16:00,373
2026-08-12 16:05,369.6
2026-08-12 16:10,357.4
2026-08-12 16:15,355.9
2026-08-12 16:20,331.3
2026-08-12 16:25,345.2
2026-08-12 16:30,338.7
2026-08-12 16:35,328.3
2026-08-12 16:40,326.9
2026-08-12 16:45,298.4
2026-08-12 16:50,300.1
2026-08-12 16:55,295.1
2026-08-12 17:00,297.9
2026-08-12 17:05,262.2
2026-08-12 17:10,281
2026-08-12 17:15,275.7
2026-08-12 17:20,260.6
2026-08-12 17:25,248.7
2026-08-12 17:30,243.5
2026-08-12 17:35,229
2026-08-12 17:40,230
2026-08-12 17:45,229.8
2026-08-12 17:50,214.2
2026-08-12 17:55,207.6
2026-08-12 18:00,194
2026-08-12 18:05,190.5
2026-08-12 18:10,188.7
2026-08-12 18:15,185.3
2026-08-12 18:20,174.4
2026-08-12 18:25,175
2026-08-12 18:30,167.4
2026-08-12 18:35,160.5
2026-08-12 18:40,152.4
2026-08-12 18:45,140.8
2026-08-12 18:50,124.3
2026-08-12 18:55,135.3
2026-08-12 19:00,125.7
2026-08-12 19:05,117.3
2026-08-12 19:10,114.6
2026-08-12 19:15,99.3
2026-08-12 19:20,90.2
2026-08-12 19:25,80.5
2026-08-12 19:30,66.5
2026-08-12 19:35,56.1
2026-08-12 19:40,42.1
2026-08-12 19:45,29.8
2026-08-12 19:50,19.1
2026-08-12 19:55,11
2026-08-12 20:00,6
2026-08-12 20:05,4.6
2026-08-12 20:10,5.7
2026-08-12 20:15,7.3
2026-08-12 20:20,7.2
2026-08-12 20:25,4
2026-08-12 20:30,3.5
2026-08-12 20:35,2.8
2026-08-12 20:55,0
2026-08-12 21:15,0
2026-08-12 21:35,0
2026-08-12 21:55,0
2026-08-12 22:15,0
2026-08-12 22:35,0
2026-08-12 22:55,0
2026-08-12 23:15,0
2026-08-12 23:35,0
2026-08-12 23:55,0
